gaze_direction,veridical_azimuth,perceived_azimuth_deviation,SEM
-30,-6,-0.82,1.28
-30,-2,0.77,1.3
-30,2,2.75,1.34
-30,6,4.7,1.4
30,-6,-3.36,1.5
30,-2,-1.55,1.01
30,2,0.33,1.49
30,6,2.11,1.5
    
